probcode,probname,probtype,probterm,status,displayflag,memo,createdate,updatedate,updateby
DEVICE05,"TIME OUT, RETAIN CARD.",DEVICE,NULL,1,1,"Card Retain","2025-07-15 14:30:00","2025-07-15 14:30:00","Man Teerasith"
DEVICE13,INOP,DEVICE,NULL,1,0,"Cassette Error","2025-07-15 14:30:00","2025-07-15 14:30:00","Man Teerasith"
DEVICE14,"CARD RETAINED FAILED",DEVICE,NULL,1,1,"Card Retain","2025-07-15 14:30:00","2025-07-15 14:30:00","Man Teerasith"
DEVICE17,"*DISPENSE FAILURE AND SEND REVERSAL MESSAGE!",DEVICE,NULL,1,0,"HW Error","2025-07-15 14:30:00","2025-07-15 14:30:00","Man Teerasith"
DEVICE18,"BARCODE HWERROR",DEVICE,NULL,1,1,"Barcode Error","2025-07-15 14:30:00","2025-07-15 14:30:00","Man Teerasith"
DEVICE20,"*DISPENSE NOTE FAILED(-14/)!",DEVICE,NULL,1,1,"HW Error","2025-07-15 14:30:00","2025-07-15 14:30:00","Man Teerasith"
DEVICE24,"*DISPENSE NOTE FAILED(-302/)!",DEVICE,NULL,1,1,"HW Error (SUSPECT M)","2025-07-15 14:30:00","2025-07-15 14:30:00","Man Teerasith"
DEVICE27,"*TAKE NOTES TIMEOUT",DEVICE,NULL,1,1,"HW Error (SUSPECT M)","2025-07-15 14:30:00","2025-07-15 14:30:00","Man Teerasith"
DEVICE29,"CARD RETAINED SUCCESSFULLY",DEVICE,NULL,1,1,"HW Error","2025-07-15 14:30:00","2025-07-15 14:30:00","Man Teerasith"
DEVICE30,"DISPENSE NOTE FAILED / ERRCODE: 12051",DEVICE,NULL,1,1,"HW Error","2025-07-22 17:30:00","2025-07-22 17:30:00",KamonthatR
DEVICE31,"DISPENSE NOTE FAILED / ERRCODE: 12052",DEVICE,NULL,1,1,"HW Error","2025-07-22 17:30:00","2025-07-22 17:30:00",KamonthatR
DEVICE32,"DISPENSE NOTE FAILED / ERRCODE: 12053",DEVICE,NULL,1,1,"HW Error","2025-07-22 17:30:00","2025-07-22 17:30:00",KamonthatR
DEVICE33,"DISPENSE NOTE FAILED / ERRCODE: 12054",DEVICE,NULL,1,1,"HW Error","2025-07-22 17:30:00","2025-07-22 17:30:00",KamonthatR
NETWORK01,"*ERR: NETWORK DISCONNECTED!",NETWORK,NULL,1,1,"Network Error","2025-07-15 14:30:00","2025-07-15 14:30:00","Man Teerasith"
SLA_445,"SYSTEM STARTUP",SLA,NULL,1,0,SLA,"2025-07-15 14:30:00","2025-07-15 14:30:00","Man Teerasith"
SLA_459_02,"NETWORK LOST, ENTER OFFLINE",SLA,NULL,1,1,SLA,"2025-07-15 14:30:00","2025-07-15 14:30:00","Man Teerasith"
